dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
gsm8k,few_shot_cot,gemma_4_e2b,phi_4_reasoning,100,0.46,0.11,7,42,23.591836734693878,3.6245783263666453e-07
gsm8k,few_shot_cot,gemma_4_e2b,qwen3_30b_a3b,100,0.46,0.07,1,40,35.21951219512195,3.8198777474462986e-11
gsm8k,few_shot_cot,gemma_4_e2b,qwen3_8b,100,0.46,0.28,4,22,11.115384615384615,0.0005335211753845215
gsm8k,few_shot_cot,gemma_4_e4b,phi_4_mini_reasoning,100,0.67,0.08,0,59,57.016949152542374,2.0816681711721685e-16
gsm8k,few_shot_cot,gemma_4_e4b,phi_4_reasoning,100,0.67,0.11,5,61,45.833333333333336,2.6307135723296904e-13
gsm8k,few_shot_cot,gemma_4_e4b,qwen3_30b_a3b,100,0.67,0.07,1,61,56.145161290322584,8.474124180146703e-16
gsm8k,few_shot_cot,gemma_4_e4b,qwen3_8b,100,0.67,0.28,2,41,33.58139534883721,2.1532287064474076e-10
gsm8k,few_shot_cot,phi_4_mini_reasoning,phi_4_reasoning,100,0.08,0.11,11,8,0.21052631578947367,0.6476058959960938
gsm8k,few_shot_cot,phi_4_mini_reasoning,qwen3_30b_a3b,100,0.08,0.07,5,6,0.0,1.0
gsm8k,few_shot_cot,phi_4_mini_reasoning,qwen3_8b,100,0.08,0.28,21,1,16.40909090909091,1.0967254638671875e-05
gsm8k,few_shot_cot,phi_4_reasoning,qwen3_30b_a3b,100,0.11,0.07,6,10,0.5625,0.454498291015625
gsm8k,few_shot_cot,phi_4_reasoning,qwen3_8b,100,0.11,0.28,23,6,8.827586206896552,0.002315700054168701
gsm8k,few_shot_cot,qwen3_30b_a3b,qwen3_8b,100,0.07,0.28,21,0,19.047619047619047,9.5367431640625e-07
gsm8k,zero_shot,gemma_4_26b_a4b,gemma_4_e2b,100,0.31,0.28,8,11,0.21052631578947367,0.6476058959960938
gsm8k,zero_shot,gemma_4_26b_a4b,gemma_4_e4b,100,0.31,0.4,13,4,3.764705882352941,0.049041748046875
gsm8k,zero_shot,gemma_4_26b_a4b,phi_4_mini_reasoning,100,0.31,0.01,1,31,26.28125,1.5366822481155396e-08
gsm8k,zero_shot,gemma_4_26b_a4b,phi_4_reasoning,100,0.31,0.66,37,2,29.641025641025642,2.841261448338628e-09
gsm8k,zero_shot,gemma_4_26b_a4b,qwen3_30b_a3b,100,0.31,0.03,0,28,26.035714285714285,7.450580596923828e-09
gsm8k,zero_shot,gemma_4_26b_a4b,qwen3_8b,100,0.31,0.01,0,30,28.033333333333335,1.862645149230957e-09
gsm8k,zero_shot,gemma_4_e2b,gemma_4_e4b,100,0.28,0.4,14,2,7.5625,0.004180908203125
gsm8k,zero_shot,gemma_4_e2b,phi_4_mini_reasoning,100,0.28,0.01,1,28,23.310344827586206,1.1175870895385742e-07
gsm8k,zero_shot,gemma_4_e2b,phi_4_reasoning,100,0.28,0.66,40,2,32.595238095238095,4.1109160520136356e-10
gsm8k,zero_shot,gemma_4_e2b,qwen3_30b_a3b,100,0.28,0.03,0,25,23.04,5.960464477539063e-08
gsm8k,zero_shot,gemma_4_e2b,qwen3_8b,100,0.28,0.01,0,27,25.037037037037038,1.4901161193847656e-08
gsm8k,zero_shot,gemma_4_e4b,phi_4_mini_reasoning,100,0.4,0.01,1,40,35.21951219512195,3.8198777474462986e-11
gsm8k,zero_shot,gemma_4_e4b,phi_4_reasoning,100,0.4,0.66,29,3,19.53125,2.5560148060321808e-06
gsm8k,zero_shot,gemma_4_e4b,qwen3_30b_a3b,100,0.4,0.03,0,37,35.027027027027025,1.4551915228366852e-11
gsm8k,zero_shot,gemma_4_e4b,qwen3_8b,100,0.4,0.01,0,39,37.02564102564103,3.637978807091713e-12
gsm8k,zero_shot,phi_4_mini_reasoning,phi_4_reasoning,100,0.01,0.66,65,0,63.01538461538462,1.1633489310769463e-16
gsm8k,zero_shot,phi_4_mini_reasoning,qwen3_30b_a3b,100,0.01,0.03,3,1,0.25,0.625
gsm8k,zero_shot,phi_4_mini_reasoning,qwen3_8b,100,0.01,0.01,1,1,0.5,1.0
